symbol	log2FoldChange	padj
ANGPTL4	3.731604573	2.97E-145
ERRFI1	2.296483328	3.14E-135
ADM	2.039437546	1.56E-111
DUSP6	1.850861854	7.36E-109
SLC2A3	2.199979009	1.51E-107
STC1	3.251262739	1.61E-90
SLC2A1	2.663727794	9.68E-85
BHLHE40	2.247871266	2.11E-77
ARRDC3	2.609513993	7.58E-72
ADORA2A	2.675624973	4.97E-64
EGLN3	7.151630886	6.24E-57
CXCR4	2.176028071	1.83E-55
ACER2	2.764372065	1.13E-51
HK2	1.720180646	1.03E-46
AL158206.1	2.720010248	2.28E-46
KANK1	1.482549606	3.90E-45
AKAP12	1.957194731	4.36E-44
EGLN1	1.816293519	8.75E-43
CBX2	1.374682036	2.40E-39
HIC1	1.713700305	8.02E-39
PFKFB3	1.265784904	3.33E-34
DUSP1	1.372601801	2.38E-31
ZNF395	1.527069417	5.40E-31
CYP26B1	1.711675537	8.56E-31
MN1	1.761644363	1.70E-30
P4HA1	1.190887234	2.77E-29
TIMP3	2.092473799	3.33E-29
AK4	2.137894247	1.13E-28
SMAD7	1.990580919	1.91E-28
MIR210HG	3.611246507	6.21E-27
ITPRIP	0.965099337	2.36E-26
VEGFA	1.882901162	1.19E-25
RASSF4	1.768320344	2.35E-25
BNIP3	1.028375662	4.55E-25
IRF2BP2	0.976771636	1.49E-24
ANKRD37	3.046838928	3.86E-24
STC2	1.350508918	5.34E-24
ZNF436	1.350400983	2.03E-23
KDM3A	1.643009354	5.30E-23
DDIT4	1.458748082	1.55E-22
ARHGEF3	0.936738774	9.82E-22
NEDD9	1.281229387	2.04E-21
PIK3R1	1.538633773	1.18E-20
NDRG1	1.50417929	7.73E-20
JADE2	0.937697526	9.53E-20
DLL4	1.275310285	1.78E-19
INHBA	1.763596917	2.51E-19
ENO2	1.344811156	2.70E-19
PPP1R3C	1.818392243	6.18E-19
PPP1R3B	1.116292971	2.02E-18
TXNIP	-0.839444388	3.65E-18
PDE4B	1.060876661	4.26E-18
GALNT15	1.359055425	8.85E-18
APOLD1	1.646299675	4.49E-17
MAFF	1.036043014	8.46E-17
SOX7	0.699000907	2.19E-16
SLC16A6	1.965189236	2.56E-16
LRRC32	1.022137811	3.05E-16
SLC6A6	1.294409911	3.88E-16
BMP2	-1.238570562	7.00E-16
PFKFB4	1.881226923	1.12E-15
SYNPO	0.784890588	2.14E-15
MXI1	1.455474496	2.47E-15
PPP1R3G	3.464933041	4.34E-15
SMG6	0.999657832	7.07E-15
CHST15	1.614533606	9.94E-15
STX11	1.14237009	1.40E-14
CCDC85C	0.945811391	2.47E-14
LIPG	0.991672483	1.80E-13
CNKSR3	1.276445204	1.80E-13
FAM174B	0.781679781	2.16E-13
MT-ND3	-1.456387825	2.43E-13
TNFRSF10B	0.699911204	2.57E-13
TLE3	0.86325429	5.24E-13
SEC61G	-1.249130723	1.13E-12
KLHL20	1.302567707	1.17E-12
MT-ND1	-1.068229369	7.75E-12
JUNB	1.172232027	8.45E-12
KLF3	0.94319992	1.01E-11
RLF	1.13995212	1.24E-11
AQP1	1.32049752	1.29E-11
CHSY1	0.813885559	1.94E-11
ANKZF1	0.802782275	2.72E-11
FUT11	0.601245003	3.63E-11
EDN1	0.646053023	3.70E-11
RPS27	-1.421331617	6.14E-11
FAM13A	1.081941661	6.51E-11
CCL2	-2.191783529	6.80E-11
RPL35A	-1.19707616	6.91E-11
CMIP	0.714925446	8.94E-11
NFIL3	1.148913316	9.50E-11
SLC30A1	0.982187064	9.50E-11
NDUFA12	-0.950137736	1.09E-10
GATA6	0.824467703	1.13E-10
ADORA2A-AS1	2.796562911	1.16E-10
HES1	1.007659074	1.20E-10
BNIP3L	0.836253836	1.56E-10
SEC61B	-1.086890924	6.64E-10
GDF6	1.660325224	1.15E-09
TNFRSF11A	0.954128387	1.25E-09
FAM107B	0.534093201	1.72E-09
MRPL33	-1.206851927	2.13E-09
RPL23A	-1.042725069	2.14E-09
GOLPH3	0.582154974	2.76E-09
GDF15	-1.079967525	2.97E-09
C10orf10	0.954100761	2.97E-09
MT-ND2	-0.8239422	3.06E-09
NDUFB4	-1.082799341	3.30E-09
SMAD6	0.795587202	3.64E-09
USMG5	-1.133032458	3.90E-09
TCAF2	0.735130944	3.97E-09
MTMR12	0.8619188	4.02E-09
CABLES1	0.577380055	4.05E-09
SNX9	0.575242697	4.15E-09
STX6	0.536851583	4.78E-09
MIR503HG	0.871297193	5.60E-09
GPR146	1.117657479	6.04E-09
SCAMP2	0.629087158	6.83E-09
ZCCHC2	0.833886083	6.83E-09
TSNAX	0.797446246	8.34E-09
ZNF292	1.140487114	8.81E-09
RPL22L1	-1.163003185	8.88E-09
BCAR1	0.834983007	9.65E-09
SOX4	0.586591469	1.08E-08
CYTOR	-0.888912174	1.08E-08
AP001189.1	1.622317147	1.19E-08
NOX4	0.794276943	1.26E-08
PTX3	-0.772681891	1.27E-08
RPS15A	-0.873686446	1.29E-08
MLXIP	0.817305301	1.37E-08
RPS21	-1.316008854	1.81E-08
FMC1	-1.374421541	1.82E-08
TP53I11	0.576037261	3.02E-08
FOSL2	0.681423687	3.09E-08
MT-CO2	-0.790194873	4.18E-08
ZNF704	1.368031191	4.27E-08
ADSSL1	1.676270514	4.35E-08
NOP10	-1.109408096	4.51E-08
AJUBA	0.534947161	5.65E-08
TNFRSF12A	-0.92793241	5.82E-08
RPS29	-1.419530035	6.47E-08
IER3	0.953955895	6.80E-08
RPL27	-1.027201285	7.78E-08
RPS25	-0.913792752	8.92E-08
MIR4435-2HG	-0.874189711	9.24E-08
MIR4435-2HG	-0.874189711	9.24E-08
NDUFB1	-1.419867887	9.69E-08
DNMBP	0.67705519	1.03E-07
DPYSL2	0.631918223	1.19E-07
ARRDC2	0.953210285	1.24E-07
PPFIA4	4.009138629	1.26E-07
RPLP2	-1.168460045	1.39E-07
COX7B	-1.085434014	1.58E-07
SLC35E1	0.476029119	1.66E-07
CD34	0.667558898	1.72E-07
POLR2F	-1.037880614	1.79E-07
