symbol	log2FoldChange	padj
ANGPTL4	3.219890049	1.27E-86
DUSP6	1.746319957	3.13E-77
ADM	1.866504127	5.58E-75
ERRFI1	1.874464717	2.13E-72
P4HA1	2.071804609	2.76E-72
EGLN3	7.724229037	5.44E-64
SLC2A1	2.483763115	4.32E-59
INHBA	3.328680259	2.64E-55
GALNT15	2.665284013	1.62E-54
CXCR4	2.213083614	9.06E-47
ADORA2A	2.461894675	1.38E-43
HSD17B2	3.960456971	6.05E-42
ACER2	2.749020255	2.02E-41
AK4	2.859454132	2.02E-41
NPTX1	3.97295521	6.96E-37
AL158206.1	2.676319712	1.15E-36
TIMP3	2.562701323	1.15E-36
ARRDC3	1.945996493	5.76E-32
EGLN1	1.720920984	1.08E-30
VEGFA	2.252778089	1.77E-29
NTN4	1.283014989	3.70E-28
CBX2	1.294294902	5.50E-28
BHLHE40	1.48329993	6.92E-27
VAT1L	2.734876109	2.13E-26
GDF6	2.964585257	3.48E-26
ZNF704	2.796925599	7.28E-26
SLC2A3	1.208696527	7.28E-26
LYVE1	-1.188980042	1.18E-25
ELMOD1	-2.441776467	1.37E-25
BACE2	1.195250758	1.54E-24
MIR210HG	3.657070435	1.99E-23
ENO2	1.627970267	5.60E-23
C1orf21	1.8631917	5.86E-23
KANK1	1.142576615	1.51E-21
BNIP3L	1.351759359	1.82E-21
AKAP12	1.522361737	1.90E-21
ADSSL1	2.992294446	3.02E-21
LEPR	2.000225183	6.25E-21
RASSF4	1.762455047	1.75E-20
LIPG	1.360017984	3.71E-20
BNIP3	1.025759608	4.86E-20
HMOX1	-1.446685772	5.23E-20
TPM1	0.934191164	7.22E-20
SERPINE1	0.83387402	7.42E-20
CDH2	0.985461132	8.53E-19
TGFBI	0.854873494	8.90E-19
FAM189A2	1.921488279	1.69E-18
LOX	1.334917034	1.85E-18
AJUBA	0.898383684	8.01E-18
FER1L4	2.660520577	8.33E-18
PDGFB	0.95411233	1.44E-17
TNFRSF10B	0.8967694	2.40E-17
EDN1	0.903527302	2.79E-17
SYNPO	0.923043806	6.52E-17
APLN	0.834332098	7.64E-17
ALDOC	2.335034039	7.74E-17
LRRC32	1.163552042	9.08E-17
ALDOA	1.137215654	1.31E-16
MN1	1.434541345	1.92E-16
PGM1	0.907514112	3.82E-16
